artistName,trackName,releaseDate,collectionName
Nusrat Fateh Ali Khan & Party,Sanson Ki Mala Pey,1988-01-01T12:00:00Z,Love and Devotion
Nusrat Fateh Ali Khan,Bina Mahi,2017-03-16T12:00:00Z,Reformed
Nusrat Fateh Ali Khan,Kali Kali Zulfon Ke Phande Nah Dalo,1988-01-01T12:00:00Z,Shahen-Shah (Real World Gold)
Nusrat Fateh Ali Khan,Dulhe Ka Sehra (Male Version),2000-07-02T12:00:00Z,Dhadkan (Original Motion Picture Soundtrack)
Madhur Sharma & Nusrat Fateh Ali Khan,Kehna Galat Galat x Halka Halka Suroor (Medley),2021-12-01T12:00:00Z,Kehna Galat Galat x Halka Halka Suroor (Medley) - Single
"Rahat Fateh Ali Khan, Ustad Nusrat Fateh Ali Khan & Salim-Sulaiman",Dillagi,2016-06-08T12:00:00Z,Dillagi - Single
Nusrat Fateh Ali Khan,Dum Mast Qalander Mast Mast,1991-01-01T12:00:00Z,Nusrat - The Original King Khan
"Nusrat Fateh Ali Khan, Rahat Fateh Ali Khan & Tanishk Bagchi","Mere Rashke Qamar (From ""Baadshaho"")",2017-07-14T07:00:00Z,"Mere Rashke Qamar (From ""Baadshaho"") - Single"
"Atif Aslam, Nusrat Fateh Ali Khan & Rochak Kohli","Dekhte Dekhte (From ""Batti Gul Meter Chalu"")",2018-08-21T07:00:00Z,"Dekhte Dekhte (From ""Batti Gul Meter Chalu"") - Single"
"Rahat Fateh Ali Khan, Abhijit Vaghani, Nusrat Fateh Ali Khan & Mujahid Mubarak Ali Khan",Halka Halka,2016-12-02T12:00:00Z,Halka Halka - Single
Nusrat Fateh Ali Khan,Yeh Jo Halka Halak Saroor Hae,1988-01-01T12:00:00Z,"Best Of Shahenshah-E-Qawwal, Pt. 5"
"Jubin Nautiyal, Neeti Mohan, Rochak Kohli & Nusrat Fateh Ali Khan","Meri Zindagi Hai Tu (From ""Satyameva Jayate 2"")",2021-10-28T12:00:00Z,"Meri Zindagi Hai Tu (From ""Satyameva Jayate 2"") - Single"
"J-Statik, Singhara & ZZORAWAR",Nusrat,2024-06-03T12:00:00Z,MOKSHA: Volume One - EP
The Jamie Baum Septet +,Nusrat,2013-10-08T12:00:00Z,In This Life
